==11544== NVPROF is profiling process 11544, command: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling application: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream          ID   Parent ID         Parent Block  Name
693.07ms  12.320us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -16          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.12ms  6.7520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -17          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.15ms  8.4160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -18          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.18ms  43.776us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -19          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.22ms  9.3440us             (61 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -20          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.24ms  13.696us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -21          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.30ms  8.4480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -22          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.32ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -23          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.35ms  42.656us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -24          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.39ms  9.3770us             (60 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -25          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.41ms  12.320us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -26          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.46ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -27          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.49ms  8.5120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -28          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.52ms  43.648us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -29          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.56ms  9.5370us             (59 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -30          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.58ms  14.016us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -31          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.63ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -32          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.66ms  8.3200us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -33          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.69ms  42.528us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -34          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.74ms  11.009us             (58 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -35          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.76ms  13.888us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -36          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.82ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -37          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.85ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -38          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
693.87ms  42.561us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -39          16              (0 0 0)  transform_matrix(float*, float*, int, int)
693.92ms  11.296us             (57 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -40          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
693.95ms  13.984us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -41          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.01ms  8.3200us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -42          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.03ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -43          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.06ms  42.753us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -44          16              (0 0 0)  transform_matrix(float*, float*, int, int)
694.11ms  11.008us             (56 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -45          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.13ms  13.793us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -46          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.19ms  8.2570us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -47          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.22ms  6.8800us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -48          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.24ms  42.049us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -49          16              (0 0 0)  transform_matrix(float*, float*, int, int)
694.29ms  9.3760us             (55 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -50          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.32ms  12.256us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -51          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.37ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -52          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.40ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -53          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.42ms  43.649us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -54          16              (0 0 0)  transform_matrix(float*, float*, int, int)
694.47ms  10.912us             (54 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -55          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.50ms  13.824us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -56          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.56ms  6.7520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -57          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.58ms  8.5120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -58          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.61ms  42.304us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -59          16              (0 0 0)  transform_matrix(float*, float*, int, int)
694.66ms  9.3450us             (53 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -60          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.68ms  12.544us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -61          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.74ms  6.7520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -62          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.77ms  8.2890us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -63          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.79ms  44.033us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -64          16              (0 0 0)  transform_matrix(float*, float*, int, int)
694.84ms  10.752us             (52 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -65          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.87ms  13.888us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -66          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
694.93ms  8.3200us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -67          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.95ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -68          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
694.99ms  42.753us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -69          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.03ms  9.3760us             (51 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -70          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.06ms  12.384us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -71          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.12ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -72          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.14ms  8.4160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -73          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.17ms  44.161us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -74          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.22ms  11.168us             (50 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -75          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.24ms  12.352us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -76          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.30ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -77          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.32ms  8.2560us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -78          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.35ms  43.712us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -79          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.40ms  9.2170us             (49 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -80          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.42ms  12.256us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -81          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.48ms  8.3520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -82          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.50ms  6.7840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -83          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.53ms  43.520us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -84          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.58ms  10.944us             (48 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -85          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.60ms  13.888us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -86          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.66ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -87          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.69ms  6.8490us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -88          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.72ms  42.401us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -89          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.76ms  9.4080us             (47 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -90          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.79ms  12.416us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -91          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.85ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -92          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.88ms  8.3520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -93          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
695.90ms  43.425us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -94          16              (0 0 0)  transform_matrix(float*, float*, int, int)
695.95ms  11.232us             (46 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -95          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
695.97ms  12.129us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0         -96          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.02ms  6.7840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -97          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.05ms  8.2240us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0         -98          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.07ms  43.617us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0         -99          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.12ms  9.1520us             (45 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -100          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.14ms  12.288us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -101          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.19ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -102          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.22ms  8.3200us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -103          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.24ms  44.065us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -104          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.29ms  10.624us             (44 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -105          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.31ms  12.064us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -106          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.36ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -107          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.39ms  8.3840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -108          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.41ms  43.649us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -109          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.46ms  9.2160us             (43 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -110          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.48ms  12.160us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -111          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.53ms  6.7840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -112          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.56ms  8.3840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -113          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.58ms  43.841us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -114          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.63ms  8.9920us             (42 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -115          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.64ms  12.288us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -116          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.70ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -117          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.72ms  6.8800us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -118          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.75ms  43.521us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -119          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.80ms  9.2480us             (41 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -120          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.81ms  13.728us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -121          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.87ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -122          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.90ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -123          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
696.92ms  42.561us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -124          16              (0 0 0)  transform_matrix(float*, float*, int, int)
696.97ms  9.1520us             (40 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -125          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
696.98ms  12.288us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -126          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
697.04ms  8.4800us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -127          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
697.07ms  6.8170us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -128          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
697.09ms  44.001us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -129          16              (0 0 0)  transform_matrix(float*, float*, int, int)
697.14ms  9.0560us             (39 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -130          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
